#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	72.1264	1159491	0.5689	100.0000	1159491	412729	412774	0.5736	72	12.16
scaffold_2	71.6307	1068818	0.5682	100.0000	1068818	377539	377568	0.5721	71	11.07
scaffold_3	72.5532	1022316	0.5673	100.0000	1022316	365576	365670	0.5718	73	11.60
scaffold_4	72.6964	923947	0.5679	100.0000	923947	330868	331065	0.5708	72	13.85
scaffold_5	73.4268	889357	0.5675	100.0000	889357	321988	321943	0.5683	73	22.28
scaffold_6	71.1069	871828	0.5712	99.9994	871823	305717	305708	0.5752	71	11.50
scaffold_7	73.3744	818490	0.5672	100.0000	818490	295779	295898	0.5705	73	11.08
scaffold_8	72.0544	785394	0.5689	99.9926	785336	278187	278095	0.5731	72	12.19
scaffold_9	72.8152	744453	0.5705	100.0000	744453	267021	267122	0.5741	73	11.38
scaffold_10	73.0068	692307	0.5730	100.0000	692307	247761	247682	0.5763	73	11.49
scaffold_11	72.6493	661204	0.5682	100.0000	661204	237163	237140	0.5725	73	11.71
scaffold_12	72.9303	623978	0.5690	100.0000	623978	223947	223993	0.5728	73	11.71
scaffold_13	72.1707	603099	0.5693	100.0000	603099	214404	214485	0.5741	72	11.98
scaffold_14	71.5674	593835	0.5694	99.9870	593758	208562	208565	0.5730	71	11.58
scaffold_15	72.5691	586802	0.5722	100.0000	586802	210217	210236	0.5755	72	11.51
scaffold_16	72.7175	581993	0.5688	100.0000	581993	208666	208643	0.5728	73	11.59
scaffold_17	70.8707	550149	0.5687	99.9993	550145	192703	192648	0.5733	71	11.84
scaffold_18	73.5721	529998	0.5685	100.0000	529998	191656	191470	0.5734	73	54.53
scaffold_19	73.6227	523008	0.5715	100.0000	523008	189982	190053	0.5755	74	11.37
scaffold_20	72.4456	509538	0.5641	100.0000	509538	181940	182049	0.5696	73	13.54
scaffold_21	72.1197	508402	0.5689	100.0000	508402	180906	180923	0.5723	72	11.20
scaffold_22	72.1779	497979	0.5719	99.9930	497944	177609	177546	0.5750	72	11.20
scaffold_23	72.6259	495306	0.5720	100.0000	495306	177195	177143	0.5757	72	11.11
scaffold_24	72.7142	481936	0.5702	100.0000	481936	172360	172481	0.5737	72	11.50
scaffold_25	71.4337	436366	0.5691	100.0000	436366	153699	153570	0.5727	71	11.29
scaffold_26	73.1824	431337	0.5707	99.9678	431198	155575	155620	0.5745	73	11.81
scaffold_27	71.6429	428218	0.5670	100.0000	428218	151135	151054	0.5709	72	11.38
scaffold_28	71.7071	423289	0.5703	100.0000	423289	149704	149665	0.5735	71	11.10
scaffold_29	73.3860	414402	0.5710	100.0000	414402	149998	149784	0.5739	73	14.97
scaffold_30	72.9611	406861	0.5665	100.0000	406861	144423	144416	0.5731	73	12.96
scaffold_31	72.2885	402011	0.5666	100.0000	402011	143059	142966	0.5706	72	11.55
scaffold_32	73.1973	401775	0.5737	100.0000	401775	145181	145165	0.5778	73	11.93
scaffold_33	71.6956	369452	0.5629	100.0000	369452	130621	130651	0.5694	72	12.78
