#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	44.3489	1267114	0.5115	100.0000	1267114	277709	277841	0.5144	44	8.64
scaffold_2	43.0080	1214709	0.5100	100.0000	1214709	258045	258044	0.5129	42	8.73
scaffold_3	44.2062	1129416	0.5122	100.0000	1129416	246620	246611	0.5154	44	8.67
scaffold_4	44.7914	1010958	0.5093	100.0000	1010958	223148	223174	0.5126	44	8.87
scaffold_5	44.8108	995599	0.5136	100.0000	995599	219882	219841	0.5166	44	8.96
scaffold_6	44.4120	926362	0.5130	100.0000	926362	202774	202783	0.5158	44	8.57
scaffold_7	45.3835	899927	0.5101	100.0000	899927	201368	201384	0.5136	45	9.07
scaffold_8	43.9272	865517	0.5080	100.0000	865517	187837	187800	0.5112	43	8.83
scaffold_9	44.3054	847697	0.5092	100.0000	847697	185576	185536	0.5137	44	10.18
scaffold_10	44.2102	787818	0.5104	100.0000	787818	171949	171945	0.5135	43	11.14
scaffold_11	42.9290	739851	0.5111	100.0000	739851	156956	157001	0.5138	43	8.29
scaffold_12	44.2693	712733	0.5093	100.0000	712733	156073	156117	0.5126	43	11.36
scaffold_13	44.2916	654670	0.5096	100.0000	654670	143137	142983	0.5145	44	9.28
scaffold_14	44.7342	632681	0.5129	100.0000	632681	139789	139752	0.5159	44	8.43
scaffold_15	44.8191	598736	0.5118	100.0000	598736	132356	132369	0.5148	44	8.92
scaffold_16	45.3543	582943	0.5093	100.0000	582943	130630	130673	0.5135	45	9.40
scaffold_17	44.6762	575549	0.5098	100.0000	575549	127164	127132	0.5132	44	8.71
scaffold_18	44.9373	561111	0.5113	100.0000	561111	124347	124364	0.5144	44	8.84
scaffold_19	44.4358	553447	0.5095	100.0000	553447	121356	121311	0.5126	44	8.88
scaffold_20	45.0904	538120	0.5114	100.0000	538120	119484	119526	0.5152	45	8.77
scaffold_21	47.6244	515151	0.5070	100.0000	515151	116927	116897	0.5118	45	29.90
scaffold_22	44.6922	437754	0.5131	100.0000	437754	96694	96674	0.5161	44	8.50
scaffold_23	46.2260	436655	0.5089	100.0000	436655	99739	99760	0.5131	46	9.52
scaffold_24	42.5737	432005	0.5014	100.0000	432005	90700	90703	0.5084	42	10.50
scaffold_25	44.9093	425709	0.5097	100.0000	425709	94451	94391	0.5148	45	9.78
scaffold_26	43.9927	424427	0.5080	100.0000	424427	92244	92311	0.5112	44	8.97
scaffold_27	43.8910	423664	0.5120	100.0000	423664	91947	91909	0.5149	43	8.78
scaffold_28	43.9985	401055	0.5144	100.0000	401055	87146	87153	0.5176	43	8.62
scaffold_29	43.5979	395166	0.5076	100.0000	395166	85128	85157	0.5113	43	8.98
scaffold_30	44.3525	390586	0.5103	100.0000	390586	85478	85461	0.5139	44	8.65
scaffold_31	44.4145	376725	0.5077	100.0000	376725	82530	82510	0.5125	44	8.98
scaffold_32	44.8989	368112	0.5105	100.0000	368112	81659	81624	0.5138	44	9.42
scaffold_33	43.7526	335253	0.5074	100.0000	335253	72473	72511	0.5104	43	12.36
scaffold_34	41.7233	328618	0.4954	100.0000	328618	67822	67850	0.5032	42	9.73
scaffold_35	42.8676	301640	0.4950	100.0000	301640	63894	63709	0.5041	42	14.22
scaffold_36	46.3739	272932	0.5069	100.0000	272932	62602	62370	0.5123	44	32.66
scaffold_37	46.0958	267656	0.5125	100.0000	267656	60875	60833	0.5159	46	9.17
scaffold_38	45.8487	264816	0.5133	100.0000	264816	59916	59966	0.5159	46	8.48
scaffold_39	43.8421	248623	0.5120	100.0000	248623	53914	53871	0.5147	43	8.53
scaffold_40	43.7013	238905	0.5096	100.0000	238905	51478	51435	0.5120	43	8.28
scaffold_41	42.1581	230674	0.4943	100.0000	230674	47947	47924	0.5057	43	10.99
scaffold_42	45.9593	214394	0.5110	100.0000	214394	48787	48733	0.5145	46	9.33
scaffold_43	43.0117	213606	0.5104	100.0000	213606	45422	45348	0.5138	43	8.66
scaffold_44	43.5912	207829	0.5099	100.0000	207829	44716	44722	0.5129	43	8.60
scaffold_45	46.6533	206211	0.5135	100.0000	206211	47638	47559	0.5166	45	37.30
scaffold_46	45.5316	204406	0.5127	100.0000	204406	45995	45970	0.5165	45	8.96
scaffold_47	42.7257	199095	0.5005	100.0000	199095	41875	41913	0.5066	42	9.25
scaffold_48	43.4054	189445	0.5101	100.0000	189445	40572	40574	0.5129	43	8.72
scaffold_49	44.9054	186759	0.5088	100.0000	186759	41480	41501	0.5123	45	8.64
scaffold_50	43.5369	182697	0.5102	100.0000	182697	39328	39313	0.5133	43	8.63
scaffold_51	46.3753	181026	0.5148	100.0000	181026	41416	41447	0.5182	46	9.51
scaffold_52	45.1683	171404	0.5087	100.0000	171404	38250	38299	0.5125	44	9.63
scaffold_53	41.8854	171198	0.5121	100.0000	171198	35192	35260	0.5150	42	7.89
scaffold_54	44.0244	168504	0.5065	100.0000	168504	36724	36709	0.5113	44	9.30
scaffold_55	44.3414	160230	0.5097	100.0000	160230	35046	35132	0.5159	44	9.83
scaffold_56	45.1251	160083	0.5095	100.0000	160083	35756	35722	0.5130	45	8.67
scaffold_57	44.8404	148380	0.5125	100.0000	148380	32829	32783	0.5149	45	8.38
scaffold_58	42.5941	145880	0.5095	100.0000	145880	30703	30735	0.5126	42	8.69
scaffold_59	43.5077	144851	0.5071	100.0000	144851	31190	31170	0.5120	43	9.28
scaffold_60	42.0643	138851	0.5076	100.0000	138851	28921	28898	0.5103	42	8.41
scaffold_61	45.1625	136332	0.5098	100.0000	136332	30423	30381	0.5124	45	9.03
scaffold_62	201.5578	128647	0.5125	100.0000	128647	125608	125860	0.5215	47	495.79
scaffold_63	44.1419	113066	0.5106	100.0000	113066	24481	24440	0.5148	44	8.97
scaffold_64	45.9901	98329	0.5039	100.0000	98329	22477	22325	0.5044	45	13.65
scaffold_65	44.2977	95377	0.5124	100.0000	95377	20975	20849	0.5133	43	12.88
scaffold_66	43.2877	91066	0.5011	100.0000	91066	19437	19416	0.5068	43	8.77
scaffold_67	43.6086	87100	0.5099	100.0000	87100	18795	18795	0.5117	44	7.98
scaffold_68	43.4898	86848	0.5088	100.0000	86848	18640	18605	0.5109	43	8.00
scaffold_69	43.2799	79265	0.5115	100.0000	79265	16966	16993	0.5140	43	8.92
scaffold_70	57.9961	76390	0.5157	100.0000	76390	21914	21953	0.5187	45	32.66
scaffold_71	43.2346	76233	0.5030	100.0000	76233	16224	16250	0.5108	43	9.48
scaffold_72	46.5946	75120	0.5145	100.0000	75120	17220	17237	0.5169	46	8.34
scaffold_73	53.4460	73463	0.4966	100.0000	73463	19433	19436	0.5044	46	33.23
scaffold_74	45.6584	70206	0.5142	100.0000	70206	15869	15865	0.5177	45	8.58
scaffold_75	39.1297	62011	0.4576	99.9952	62008	12013	12002	0.4753	39	11.40
scaffold_76	49.9592	61454	0.5069	100.0000	61454	15127	15104	0.5122	47	16.60
scaffold_77	44.1737	57155	0.5077	100.0000	57155	12511	12477	0.5112	44	8.65
scaffold_78	46.0322	55970	0.5056	100.0000	55970	12730	12772	0.5101	45	9.86
scaffold_79	45.0892	55858	0.5079	100.0000	55858	12469	12460	0.5095	44	14.99
scaffold_80	44.6561	54447	0.5103	100.0000	54447	12009	12052	0.5131	44	9.16
scaffold_81	43.2564	54387	0.5035	100.0000	54387	11597	11578	0.5074	43	8.58
scaffold_82	41.6058	47120	0.4886	100.0000	47120	9663	9660	0.5021	42	10.70
scaffold_83	40.9107	45404	0.4938	100.0000	45404	9195	9192	0.5070	41	9.75
scaffold_84	43.1471	43441	0.5148	100.0000	43441	9287	9264	0.5187	43	9.63
scaffold_85	61.1584	38564	0.4444	100.0000	38564	9867	9845	0.4773	45	84.70
scaffold_86	40.0732	38394	0.4921	100.0000	38394	7541	7521	0.4959	40	8.19
scaffold_87	41.4933	35616	0.4938	100.0000	35616	7307	7323	0.5037	40	9.87
scaffold_88	42.9885	34908	0.4922	100.0000	34908	7386	7392	0.5062	43	13.70
scaffold_89	40.3190	33689	0.4866	100.0000	33689	6673	6754	0.4895	38	16.99
scaffold_90	42.4196	31830	0.4888	100.0000	31830	6672	6677	0.4923	39	15.20
scaffold_91	39.4894	31655	0.4968	100.0000	31655	6184	6192	0.5006	39	8.35
