#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	62.9304	1071316	0.5608	100.0000	1071316	332924	333026	0.5693	63	12.97
scaffold_2	62.6156	925488	0.5585	100.0000	925488	286127	286134	0.5670	63	13.12
scaffold_3	66.4278	891994	0.5583	100.0000	891994	290082	290363	0.5651	64	77.14
scaffold_4	63.4271	859246	0.5600	100.0000	859246	267126	267156	0.5678	64	12.81
scaffold_5	63.6998	846733	0.5639	100.0000	846733	266398	266400	0.5710	64	12.52
scaffold_6	62.9638	716326	0.5583	100.0000	716326	222686	222694	0.5668	63	16.98
scaffold_7	62.7545	696456	0.5599	100.0000	696456	215990	216071	0.5689	63	15.15
scaffold_8	63.1874	683812	0.5585	100.0000	683812	211381	211402	0.5694	64	14.28
scaffold_9	62.9701	671455	0.5592	100.0000	671455	208609	208619	0.5669	63	12.74
scaffold_10	62.9947	645028	0.5606	100.0000	645028	200696	200690	0.5677	63	12.59
scaffold_11	57.0797	609260	0.5399	100.0000	609260	171785	171868	0.5613	60	19.06
scaffold_12	62.7738	592082	0.5606	100.0000	592082	183144	183180	0.5675	63	14.79
scaffold_13	61.9011	578519	0.5568	100.0000	578519	176807	176712	0.5671	63	13.89
scaffold_14	63.5185	575020	0.5631	100.0000	575020	180368	180371	0.5692	64	12.05
scaffold_15	62.3148	565653	0.5592	100.0000	565653	174170	174170	0.5685	63	13.65
scaffold_16	62.8089	530541	0.5593	100.0000	530541	164614	164668	0.5671	63	13.11
scaffold_17	62.9289	496700	0.5608	100.0000	496700	153973	153990	0.5693	63	13.05
scaffold_18	61.3141	483496	0.5542	100.0000	483496	146209	146189	0.5663	62	14.08
scaffold_19	61.3576	477171	0.5540	100.0000	477171	144620	144653	0.5658	62	14.43
scaffold_20	62.7925	471887	0.5569	100.0000	471887	146291	146369	0.5661	63	13.85
scaffold_21	64.4378	460991	0.5631	100.0000	460991	144221	144181	0.5705	64	13.06
