#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.1299	213039	0.5312	100.0000	213039	79048	79031	0.5565	69	36.69
scaffold_2	73.5037	208452	0.5275	100.0000	208452	75439	75419	0.5517	68	36.47
scaffold_3	76.3134	192996	0.5306	100.0000	192996	71906	71873	0.5561	71	37.14
scaffold_4	110.5985	140049	0.5276	100.0000	140049	76660	76626	0.5519	105	53.58
scaffold_5	113.2762	131433	0.5314	100.0000	131433	73327	73338	0.5560	106	54.56
scaffold_6	110.2165	114725	0.5298	100.0000	114725	62397	62501	0.5545	103	53.53
scaffold_7	70.4269	83632	0.5248	100.0000	83632	29033	29023	0.5494	63	36.14
scaffold_8	68.3118	81164	0.5189	99.9791	81147	27439	27424	0.5430	63	34.21
scaffold_9	107.3798	77778	0.5254	100.0000	77778	41313	41325	0.5509	98	53.74
scaffold_10	78.8741	67293	0.5320	100.0000	67293	26157	26203	0.5554	76	36.70
scaffold_11	76.8348	61395	0.5287	100.0000	61395	23316	23383	0.5565	70	39.94
scaffold_12	123.3962	53674	0.5423	100.0000	53674	32703	32651	0.5670	117	57.03
scaffold_13	76.3798	52273	0.5292	100.0000	52273	19776	19725	0.5516	72	35.49
scaffold_14	34.2784	48965	0.5173	100.0000	48965	8226	8215	0.5430	31	21.72
scaffold_15	36.8104	42227	0.5288	99.9313	42198	7680	7677	0.5527	35	18.78
scaffold_16	76.0619	40064	0.5307	100.0000	40064	15064	15129	0.5535	69	36.96
scaffold_17	39.5233	39755	0.5184	100.0000	39755	7783	7773	0.5445	34	26.92
scaffold_18	73.5811	38391	0.5184	100.0000	38391	13959	13875	0.5531	69	42.29
scaffold_19	37.8561	37401	0.5295	100.0000	37401	7013	6999	0.5521	36	18.23
scaffold_20	46.9592	35341	0.5255	99.9491	35323	8219	8193	0.5491	40	31.66
scaffold_21	37.3001	34916	0.5203	100.0000	34916	6438	6456	0.5427	32	23.26
scaffold_22	43.1260	34812	0.5278	100.0000	34812	7288	7300	0.5565	39	27.54
scaffold_23	39.3315	33963	0.5322	100.0000	33963	6596	6593	0.5573	37	22.18
scaffold_24	50.5111	33646	0.5276	100.0000	33646	8258	8310	0.5546	41	34.75
scaffold_25	46.7976	33349	0.5234	100.0000	33349	7733	7717	0.5462	36	41.28
scaffold_26	43.7903	33305	0.5384	100.0000	33305	7168	7159	0.5688	39	26.97
scaffold_27	71.2332	31325	0.5273	100.0000	31325	11077	11009	0.5487	66	33.97
scaffold_28	76.8444	30311	0.5279	100.0000	30311	11517	11490	0.5501	75	35.22
scaffold_29	44.7280	30288	0.5298	100.0000	30288	6695	6715	0.5560	37	30.92
scaffold_30	39.4226	29786	0.5274	100.0000	29786	5832	5795	0.5503	35	22.78
scaffold_31	38.6037	28812	0.5104	100.0000	28812	5334	5506	0.5418	28	50.08
scaffold_32	54.7241	28792	0.5171	100.0000	28792	7887	7708	0.5456	36	64.38
scaffold_33	44.9568	28655	0.5322	100.0000	28655	6320	6358	0.5574	39	27.57
scaffold_34	60.6890	28351	0.5386	100.0000	28351	8478	8496	0.5633	51	37.66
scaffold_35	81.5751	28329	0.5326	100.0000	28329	11385	11445	0.5518	79	37.16
scaffold_36	46.0858	27688	0.5186	99.9675	27679	6281	6351	0.5491	37	33.46
scaffold_37	50.9613	27675	0.5320	100.0000	27675	7021	6961	0.5620	42	34.19
scaffold_38	35.5058	27652	0.5240	100.0000	27652	4848	4830	0.5442	34	18.18
scaffold_39	144.3322	27416	0.5090	100.0000	27416	18262	18411	0.5471	105	119.88
scaffold_40	47.2182	27208	0.5132	100.0000	27208	6378	6250	0.5432	39	41.79
scaffold_41	41.1030	27027	0.5376	100.0000	27027	5504	5500	0.5625	38	20.04
scaffold_42	41.8809	26624	0.5350	100.0000	26624	5512	5532	0.5496	40	16.93
scaffold_43	129.3113	26624	0.5285	100.0000	26624	16031	15977	0.5496	126	53.48
scaffold_44	47.7119	26067	0.5218	100.0000	26067	6173	6149	0.5406	42	28.77
scaffold_45	42.9863	25841	0.5293	100.0000	25841	5484	5518	0.5507	39	24.84
scaffold_46	41.0862	25812	0.5268	100.0000	25812	5234	5266	0.5491	36	25.49
scaffold_47	38.0479	25580	0.5262	99.9687	25572	4809	4831	0.5477	35	20.60
scaffold_48	49.9920	25446	0.4930	100.0000	25446	6320	6284	0.5222	45	31.88
scaffold_49	55.0666	25419	0.5192	100.0000	25419	6877	6966	0.5442	45	43.98
