#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	54.3568	1622494	0.5089	99.9943	1622402	430315	430627	0.5127	54	11.47
scaffold_2	54.7861	1354006	0.5131	100.0000	1354006	364461	364404	0.5170	54	10.63
scaffold_3	54.4751	1267161	0.5115	100.0000	1267161	340617	340725	0.5153	54	10.36
scaffold_4	53.1869	1214752	0.5100	100.0000	1214752	318610	318662	0.5137	53	10.20
scaffold_5	54.7817	1099892	0.5113	100.0000	1099892	296485	296588	0.5155	54	11.44
scaffold_6	54.6739	1027794	0.5120	100.0000	1027794	276227	276327	0.5159	54	10.46
scaffold_7	53.9952	1011714	0.5093	100.0000	1011714	266628	266725	0.5131	53	15.75
scaffold_8	55.0009	1001889	0.5106	100.0000	1001889	272018	272069	0.5167	53	48.05
scaffold_9	54.1082	926821	0.5129	99.9859	926690	247470	247719	0.5165	54	10.30
scaffold_10	55.6065	898919	0.5111	100.0000	898919	244682	244638	0.5153	54	15.42
scaffold_11	54.2002	881718	0.5080	100.0000	881718	235610	235725	0.5137	53	23.14
scaffold_12	54.7384	764092	0.5106	99.9990	764084	206171	206205	0.5154	54	11.16
scaffold_13	53.4112	745208	0.5060	100.0000	745208	194684	194665	0.5113	53	11.64
scaffold_14	53.9951	739944	0.5111	100.0000	739944	195977	196049	0.5146	53	10.35
scaffold_15	52.7850	712731	0.5093	100.0000	712731	185718	185739	0.5136	52	13.21
scaffold_16	54.3674	674478	0.5105	100.0000	674478	181028	181043	0.5158	54	11.05
scaffold_17	54.6983	632848	0.5129	100.0000	632848	170264	170250	0.5168	54	10.65
scaffold_18	53.4543	575803	0.5081	100.0000	575803	151938	151979	0.5131	53	10.70
scaffold_19	54.6332	562419	0.5130	99.9900	562363	151180	151136	0.5171	54	10.70
scaffold_20	54.5575	502282	0.5102	99.9763	502163	134616	134643	0.5139	54	10.73
scaffold_21	54.9823	465341	0.5124	100.0000	465341	125882	125946	0.5169	54	10.73
scaffold_22	54.9060	462234	0.5107	100.0000	462234	125241	125286	0.5142	54	10.10
scaffold_23	51.0426	452293	0.5017	100.0000	452293	113476	113595	0.5092	51	15.29
scaffold_24	60.4424	433226	0.5070	99.9785	433133	127686	128027	0.5075	52	63.33
scaffold_25	53.8342	423662	0.5120	100.0000	423662	112311	112325	0.5161	53	10.72
scaffold_26	53.8051	401031	0.5144	100.0000	401031	106529	106573	0.5184	53	10.38
scaffold_27	54.3932	397476	0.5090	100.0000	397476	106267	106213	0.5129	53	15.10
scaffold_28	52.4518	394973	0.5079	100.0000	394973	102272	102318	0.5121	52	10.61
scaffold_29	54.1143	391074	0.5102	100.0000	391074	104498	104405	0.5142	53	15.12
scaffold_30	53.7201	373059	0.5077	100.0000	373059	98963	98957	0.5128	53	10.95
scaffold_31	53.2552	355235	0.5098	100.0000	355235	93517	93588	0.5150	53	10.56
scaffold_32	49.6580	326419	0.4969	100.0000	326419	79671	79725	0.5047	49	11.02
scaffold_33	55.6725	316151	0.5057	100.0000	316151	85249	85311	0.5129	56	11.59
scaffold_34	54.0096	301701	0.4952	100.0000	301701	79828	79887	0.5052	52	36.66
scaffold_35	52.2953	296946	0.5082	100.0000	296946	76234	76167	0.5124	52	10.65
