#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	71.3924	1174051	0.5687	100.0000	1174051	413391	413417	0.5727	71	11.18
scaffold_2	72.3604	1040100	0.5656	100.0000	1040100	370988	371077	0.5708	72	11.92
scaffold_3	72.8156	887983	0.5678	100.0000	887983	318284	318338	0.5713	73	11.33
scaffold_4	72.6145	766718	0.5696	100.0000	766718	274222	274318	0.5739	73	11.75
scaffold_5	71.7262	763419	0.5730	100.0000	763419	270442	270474	0.5767	71	11.27
scaffold_6	71.9571	726928	0.5673	100.0000	726928	257742	257864	0.5716	72	11.40
scaffold_7	71.8834	721561	0.5709	100.0000	721561	255976	255995	0.5741	72	11.14
scaffold_8	71.2176	716772	0.5693	100.0000	716772	251787	251790	0.5729	71	11.10
scaffold_9	73.0114	692219	0.5729	100.0000	692219	247754	247678	0.5764	73	11.49
scaffold_10	72.7082	691005	0.5683	100.0000	691005	247444	247539	0.5718	72	11.32
scaffold_11	70.7035	684562	0.5654	100.0000	684562	238661	238555	0.5716	71	12.14
scaffold_12	71.7914	630538	0.5684	100.0000	630538	221810	221813	0.5722	72	11.44
scaffold_13	72.7655	592040	0.5696	100.0000	592040	212882	212911	0.5731	73	11.25
scaffold_14	72.5895	586695	0.5722	100.0000	586695	210219	210257	0.5755	72	11.46
scaffold_15	72.7573	563301	0.5697	100.0000	563301	201878	201922	0.5733	73	11.42
scaffold_16	73.9264	525548	0.5703	100.0000	525548	191751	191725	0.5732	74	13.86
scaffold_17	72.2451	510120	0.5638	100.0000	510120	181677	181699	0.5701	73	12.72
scaffold_18	72.7239	485961	0.5727	100.0000	485961	174116	174091	0.5763	73	11.04
scaffold_19	72.6848	481978	0.5702	100.0000	481978	172464	172378	0.5737	72	11.51
scaffold_20	70.4924	478985	0.5686	100.0000	478985	166538	166498	0.5723	70	11.16
scaffold_21	71.4641	436167	0.5691	100.0000	436167	153691	153574	0.5727	71	11.23
scaffold_22	73.7668	433356	0.5684	100.0000	433356	157490	157539	0.5714	73	12.74
scaffold_23	72.8686	423123	0.5721	100.0000	423123	151618	151612	0.5755	73	11.54
scaffold_24	72.8054	391498	0.5682	100.0000	391498	139897	139898	0.5722	73	11.57
scaffold_25	73.1115	385035	0.5657	100.0000	385035	138623	138694	0.5689	73	10.76
scaffold_26	71.8306	369473	0.5629	100.0000	369473	130651	130635	0.5693	72	12.75
scaffold_27	73.3805	355109	0.5696	100.0000	355109	128412	128449	0.5733	73	11.27
scaffold_28	72.0574	343704	0.5667	100.0000	343704	122286	122187	0.5729	72	13.00
scaffold_29	77.5723	337038	0.5683	100.0000	337038	128412	128373	0.5722	77	11.91
scaffold_30	74.2169	328779	0.5663	100.0000	328779	118445	118371	0.5717	74	12.93
scaffold_31	73.7033	318531	0.5684	100.0000	318531	115792	115789	0.5670	72	24.09
scaffold_32	73.3352	314234	0.5750	100.0000	314234	113916	113931	0.5780	73	11.68
scaffold_33	73.4283	295014	0.5713	100.0000	295014	106439	106487	0.5746	73	25.27
scaffold_34	73.0107	292050	0.5698	100.0000	292050	105066	105093	0.5735	73	11.70
scaffold_35	72.8121	285598	0.5688	100.0000	285598	102721	102791	0.5724	73	11.13
scaffold_36	71.5115	278995	0.5663	100.0000	278995	98188	98167	0.5757	72	14.18
scaffold_37	72.4559	271238	0.5698	100.0000	271238	96835	96870	0.5750	72	11.81
scaffold_38	71.0193	261187	0.5645	100.0000	261187	91452	91500	0.5722	72	13.62
scaffold_39	72.1556	258631	0.5675	100.0000	258631	91925	91961	0.5751	73	13.20
scaffold_40	71.2165	257821	0.5683	100.0000	257821	90732	90790	0.5716	71	11.34
scaffold_41	70.6802	250471	0.5655	100.0000	250471	87195	87279	0.5707	71	11.92
scaffold_42	72.8457	241298	0.5597	100.0000	241298	86757	86762	0.5663	73	12.70
scaffold_43	71.9680	238806	0.5683	100.0000	238806	84822	84858	0.5715	72	11.37
scaffold_44	72.0689	235445	0.5658	100.0000	235445	83659	83688	0.5684	71	14.27
scaffold_45	72.3814	234287	0.5701	100.0000	234287	83425	83379	0.5736	72	11.16
scaffold_46	73.3378	232137	0.5760	100.0000	232137	84069	84047	0.5805	73	11.85
scaffold_47	71.9053	226941	0.5658	100.0000	226941	80452	80445	0.5716	72	12.22
scaffold_48	72.8439	221959	0.5629	100.0000	221959	79811	79788	0.5680	73	12.34
scaffold_49	72.8560	220723	0.5664	100.0000	220723	79226	79251	0.5699	73	11.04
scaffold_50	73.4596	218992	0.5725	100.0000	218992	79557	79580	0.5759	73	11.90
scaffold_51	73.2496	212723	0.5703	100.0000	212723	76935	77018	0.5739	73	11.12
scaffold_52	71.3695	211825	0.5685	100.0000	211825	74533	74567	0.5759	72	13.76
scaffold_53	71.1125	210666	0.5689	100.0000	210666	73837	73830	0.5763	72	13.30
scaffold_54	73.4293	205297	0.5667	100.0000	205297	74420	74421	0.5712	73	11.94
scaffold_55	71.9305	205099	0.5671	100.0000	205099	72958	72964	0.5735	72	12.47
scaffold_56	71.6947	192953	0.5607	99.9953	192944	68424	68476	0.5687	72	13.55
scaffold_57	72.2174	185827	0.5623	100.0000	185827	65619	65646	0.5684	72	11.91
scaffold_58	73.3155	179647	0.5721	100.0000	179647	64614	64617	0.5751	73	11.57
scaffold_59	72.5984	166526	0.5725	100.0000	166526	59793	59728	0.5760	72	11.40
scaffold_60	73.5823	152427	0.5648	100.0000	152427	55283	55260	0.5711	74	12.31
scaffold_61	73.1015	150142	0.5721	100.0000	150142	54189	54172	0.5751	73	11.18
scaffold_62	76.6834	147560	0.5675	100.0000	147560	55922	55872	0.5717	76	11.70
scaffold_63	72.5676	145339	0.5616	100.0000	145339	51318	51342	0.5693	73	14.07
scaffold_64	69.4908	144426	0.5614	100.0000	144426	49467	49479	0.5714	70	13.93
scaffold_65	69.7238	140437	0.5698	100.0000	140437	48382	48442	0.5770	70	13.62
scaffold_66	72.6192	139132	0.5720	100.0000	139132	49930	49952	0.5753	72	11.38
scaffold_67	73.7031	139104	0.5725	100.0000	139104	50578	50584	0.5761	74	11.83
scaffold_68	69.1814	138317	0.5600	100.0000	138317	47363	47336	0.5694	71	15.04
scaffold_69	70.6471	124029	0.5593	99.9952	124023	43028	43038	0.5677	71	13.90
scaffold_70	72.4615	120792	0.5720	100.0000	120792	43263	43286	0.5753	72	10.96
scaffold_71	72.2693	116197	0.5614	100.0000	116197	41431	41375	0.5660	72	11.95
scaffold_72	71.4895	115056	0.5691	100.0000	115056	40441	40435	0.5767	72	12.69
scaffold_73	70.0917	105023	0.5765	100.0000	105023	36353	36345	0.5816	71	13.10
