#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	40.1556	2935748	0.4990	100.0000	2935748	582293	582318	0.5022	40	7.83
scaffold_2	39.9351	2827045	0.4977	100.0000	2827045	557809	557927	0.5008	40	7.96
scaffold_3	40.2230	2184934	0.4981	100.0000	2184934	433717	433690	0.5010	40	7.90
scaffold_4	40.3037	1991513	0.4988	100.0000	1991513	396474	396586	0.5018	40	7.87
scaffold_5	39.8250	1982842	0.4970	100.0000	1982842	390240	390289	0.5002	40	7.73
scaffold_6	40.0469	1860183	0.4964	100.0000	1860183	367658	367760	0.4998	40	7.87
scaffold_7	39.9134	1586097	0.4976	100.0000	1586097	312780	312711	0.5005	40	7.74
scaffold_8	40.2936	1506563	0.4986	100.0000	1506563	299826	299920	0.5017	40	7.85
scaffold_9	40.1462	1470331	0.4970	100.0000	1470331	291839	291860	0.4998	40	7.83
scaffold_10	40.1999	1427631	0.4971	100.0000	1427631	283452	283507	0.5008	40	8.03
scaffold_11	40.1851	1416947	0.4973	100.0000	1416947	281376	281382	0.5001	40	8.22
scaffold_12	40.6336	1130242	0.4982	100.0000	1130242	226742	226757	0.5015	40	9.61
scaffold_13	40.2816	1110908	0.4984	100.0000	1110908	220533	220656	0.5015	40	7.73
scaffold_14	40.2029	913317	0.4965	100.0000	913317	181112	181120	0.4994	40	7.86
scaffold_15	39.4946	909283	0.4934	100.0000	909283	177131	177167	0.4967	39	7.78
scaffold_16	39.5612	908345	0.4956	99.9991	908337	177717	177724	0.4985	39	7.78
scaffold_17	39.4117	843789	0.4944	100.0000	843789	164569	164540	0.4977	39	7.92
scaffold_18	39.8713	767224	0.4974	100.0000	767224	151207	151159	0.5003	40	8.27
scaffold_19	38.9120	675788	0.4888	100.0000	675788	129837	129883	0.4918	39	7.80
scaffold_20	39.2136	670689	0.4916	100.0000	670689	130027	130176	0.4957	39	8.00
scaffold_21	39.6077	580972	0.4899	100.0000	580972	112818	112856	0.4930	39	12.17
scaffold_22	39.4174	579963	0.4951	100.0000	579963	113118	113067	0.4980	39	7.68
scaffold_23	39.4011	555903	0.4933	100.0000	555903	108091	108096	0.4963	39	7.90
scaffold_24	40.0972	552024	0.4976	100.0000	552024	108736	108681	0.5006	40	7.74
scaffold_25	39.9655	546776	0.4964	100.0000	546776	108098	108076	0.4991	40	7.77
scaffold_26	40.4069	542387	0.4974	100.0000	542387	108046	108039	0.5006	40	7.97
scaffold_27	39.6416	519668	0.4964	100.0000	519668	101778	101811	0.4993	39	7.68
scaffold_28	40.3722	495051	0.4968	99.9836	494970	98793	98865	0.5001	40	7.94
scaffold_29	39.0599	367981	0.4904	100.0000	367981	71080	71110	0.4942	39	7.75
scaffold_30	40.6599	361919	0.4990	100.0000	361919	72724	72718	0.5016	40	7.73
scaffold_31	39.9530	348063	0.4957	100.0000	348063	68693	68653	0.4985	40	7.87
scaffold_32	39.5202	330918	0.4860	100.0000	330918	64298	64289	0.4895	39	7.80
scaffold_33	40.6032	317890	0.5000	100.0000	317890	63667	63650	0.5035	40	10.59
scaffold_34	39.4838	239657	0.4881	100.0000	239657	46391	46338	0.4922	39	11.05
scaffold_35	38.1580	215310	0.4845	100.0000	215310	40701	40634	0.4929	38	8.97
scaffold_36	38.8749	189409	0.4900	100.0000	189409	36165	36157	0.4934	39	7.76
scaffold_37	37.1868	179887	0.4757	100.0000	179887	33098	33052	0.4862	38	9.21
scaffold_38	39.7344	170290	0.4907	100.0000	170290	33423	33455	0.4947	39	8.10
scaffold_39	39.4639	162562	0.4953	100.0000	162562	31748	31749	0.4982	39	7.81
scaffold_40	41.1943	122889	0.5016	100.0000	122889	24947	24972	0.5043	41	7.81
scaffold_41	38.2070	92659	0.4834	100.0000	92659	17512	17525	0.4873	38	7.83
scaffold_42	39.9948	85434	0.4919	100.0000	85434	16883	16897	0.4952	39	9.61
scaffold_43	38.8736	69272	0.4976	100.0000	69272	13329	13337	0.5014	38	7.95
scaffold_44	41.4416	67139	0.4845	100.0000	67139	13195	13225	0.4866	39	14.53
scaffold_45	41.2245	66446	0.5058	100.0000	66446	13569	13547	0.5080	41	7.33
scaffold_46	32.9618	53760	0.4193	100.0000	53760	8564	8567	0.4421	34	10.03
