#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	56.6273	141848	0.5471	100.0000	141848	39701	39702	0.5490	56	8.69
scaffold_2	54.8354	139227	0.5417	100.0000	139227	37740	37757	0.5443	55	8.53
scaffold_3	54.6951	128912	0.5442	100.0000	128912	34840	34861	0.5464	55	9.43
scaffold_4	56.0202	123501	0.5464	100.0000	123501	34256	34215	0.5488	56	8.45
scaffold_5	55.5156	117162	0.5443	100.0000	117162	32170	32151	0.5467	55	8.57
scaffold_6	57.2082	112958	0.5462	100.0000	112958	31754	31761	0.5487	57	9.01
scaffold_7	55.3727	103537	0.5437	100.0000	103537	28361	28331	0.5461	55	9.14
scaffold_8	54.7783	100958	0.5502	100.0000	100958	27259	27275	0.5527	55	8.44
scaffold_9	56.9899	96498	0.5484	100.0000	96498	27071	27064	0.5506	57	9.39
scaffold_10	55.9627	96473	0.5424	100.0000	96473	26649	26711	0.5450	56	8.61
scaffold_11	56.0986	95195	0.5467	100.0000	95195	26349	26347	0.5491	56	8.43
scaffold_12	55.9250	93541	0.5460	100.0000	93541	25886	25907	0.5482	56	8.64
scaffold_13	54.8230	92047	0.5454	100.0000	92047	24979	24967	0.5479	55	8.50
scaffold_14	55.4543	91517	0.5429	100.0000	91517	24952	24971	0.5461	55	9.43
scaffold_15	54.9121	89104	0.5530	100.0000	89104	24220	24231	0.5552	54	9.04
scaffold_16	55.7019	89070	0.5427	100.0000	89070	24463	24470	0.5449	56	8.88
scaffold_17	54.6022	88748	0.5477	100.0000	88748	23938	23916	0.5496	54	8.80
scaffold_18	57.3819	88515	0.5456	100.0000	88515	25146	25133	0.5478	57	8.79
scaffold_19	55.3928	87792	0.5454	100.0000	87792	24073	24054	0.5483	55	9.04
scaffold_20	54.0506	87490	0.5464	100.0000	87490	23401	23397	0.5495	54	8.79
scaffold_21	55.0651	86818	0.5453	100.0000	86818	23648	23668	0.5483	55	8.82
scaffold_22	54.9406	86421	0.5494	100.0000	86421	23487	23524	0.5514	55	8.81
scaffold_23	57.7480	83857	0.5410	100.0000	83857	23911	24023	0.5347	54	58.50
scaffold_24	56.4124	83190	0.5444	100.0000	83190	23087	23134	0.5472	56	8.98
scaffold_25	55.6103	82590	0.5499	100.0000	82590	22738	22703	0.5527	55	8.95
scaffold_26	56.2236	81825	0.5469	100.0000	81825	22732	22715	0.5489	56	8.68
scaffold_27	56.5916	81563	0.5471	100.0000	81563	22509	22511	0.5491	56	8.59
scaffold_28	55.3347	78070	0.5464	100.0000	78070	21129	21118	0.5484	55	8.47
scaffold_29	55.5175	77388	0.5458	100.0000	77388	21225	21207	0.5480	55	8.47
scaffold_30	54.7219	76604	0.5445	100.0000	76604	20761	20735	0.5462	54	8.02
scaffold_31	54.5162	76144	0.5406	100.0000	76144	20436	20425	0.5448	54	8.93
scaffold_32	54.6938	75256	0.5431	100.0000	75256	20385	20367	0.5461	55	8.67
scaffold_33	53.1250	74715	0.5451	100.0000	74715	19615	19652	0.5468	53	9.56
scaffold_34	55.8574	74368	0.5461	100.0000	74368	20417	20427	0.5482	56	8.44
scaffold_35	56.5851	73290	0.5453	100.0000	73290	20468	20490	0.5472	57	8.74
scaffold_36	55.8552	72895	0.5489	100.0000	72895	20003	20013	0.5508	55	8.83
