#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	84.6852	1191132	0.5345	100.0000	1191132	497502	497588	0.5502	78	31.24
scaffold_2	82.7894	982045	0.5323	100.0000	982045	401287	401109	0.5480	77	30.44
scaffold_3	86.7071	981105	0.5364	99.9920	981027	419761	419738	0.5519	81	32.81
scaffold_4	84.1020	975437	0.5330	100.0000	975437	405067	404360	0.5476	78	52.89
scaffold_5	84.3297	934328	0.5337	100.0000	934328	388407	388337	0.5491	79	30.64
scaffold_6	86.4375	854781	0.5352	100.0000	854781	364598	364599	0.5507	80	31.19
scaffold_7	86.5072	827390	0.5335	100.0000	827390	352574	352555	0.5485	81	32.95
scaffold_8	85.8850	826369	0.5349	100.0000	826369	350305	350244	0.5504	80	30.77
scaffold_9	82.7732	770377	0.5328	100.0000	770377	314359	314403	0.5482	77	30.51
scaffold_10	86.1475	747195	0.5346	100.0000	747195	317250	317316	0.5504	81	30.96
scaffold_11	89.6523	745280	0.5364	99.9992	745274	330161	330019	0.5579	81	130.65
scaffold_12	84.8630	729670	0.5340	100.0000	729670	305677	305470	0.5488	79	30.01
scaffold_13	82.7653	684653	0.5324	100.0000	684653	279411	279473	0.5479	77	30.11
scaffold_14	85.2158	661721	0.5339	100.0000	661721	278305	278356	0.5496	79	31.23
scaffold_15	85.6642	630859	0.5340	100.0000	630859	266472	266558	0.5503	80	31.61
scaffold_16	84.8496	619158	0.5346	100.0000	619158	257358	257433	0.5508	79	31.32
scaffold_17	85.1351	602898	0.5349	99.9716	602727	253016	253090	0.5499	79	30.37
scaffold_18	85.5870	540711	0.5338	100.0000	540711	227107	227122	0.5492	80	30.27
scaffold_19	84.0189	505715	0.5332	100.0000	505715	208968	208965	0.5478	78	30.95
scaffold_20	86.4026	498677	0.5354	100.0000	498677	212629	212592	0.5515	81	31.07
scaffold_21	84.2202	459593	0.5329	100.0000	459593	190713	190796	0.5499	78	31.48
scaffold_22	84.4070	457436	0.5346	100.0000	457436	190500	190367	0.5504	79	30.79
scaffold_23	85.8996	455844	0.5356	100.0000	455844	192781	192854	0.5517	80	31.80
scaffold_24	85.6811	447209	0.5334	100.0000	447209	188398	188439	0.5489	79	32.59
scaffold_25	86.9852	445818	0.5356	100.0000	445818	190196	190034	0.5511	81	31.26
scaffold_26	84.1935	401148	0.5330	100.0000	401148	165924	165852	0.5484	78	30.26
scaffold_27	82.6232	396544	0.5321	100.0000	396544	161723	161662	0.5478	76	30.67
scaffold_28	84.1916	393796	0.5334	100.0000	393796	163683	163736	0.5491	78	30.85
scaffold_29	85.3208	390965	0.5353	100.0000	390965	164341	164411	0.5507	79	30.78
scaffold_30	80.9962	380611	0.5307	100.0000	380611	151855	151756	0.5464	75	30.00
scaffold_31	84.9135	342863	0.5336	100.0000	342863	143585	143529	0.5491	79	30.98
scaffold_32	85.3943	328332	0.5350	100.0000	328332	138140	138240	0.5503	80	30.63
scaffold_33	82.2042	324144	0.5317	100.0000	324144	130950	130863	0.5485	76	30.79
scaffold_34	84.8717	321944	0.5342	100.0000	321944	134351	134325	0.5495	78	30.84
scaffold_35	85.8651	294429	0.5327	100.0000	294429	124519	124621	0.5522	80	34.37
scaffold_36	86.1692	286154	0.5357	100.0000	286154	121941	121867	0.5517	81	31.39
scaffold_37	85.4798	249092	0.5336	100.0000	249092	104964	104946	0.5490	79	31.47
scaffold_38	85.1441	246514	0.5350	100.0000	246514	103521	103514	0.5513	79	30.98
scaffold_39	83.9837	239815	0.5315	100.0000	239815	99476	99505	0.5467	78	30.82
