#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	395.4945	18670	0.3201	100.0000	18670	33014	32960	0.3256	364	117.41
scaffold_2	337.7437	13405	0.3102	100.0000	13405	22227	21974	0.3168	329	72.82
scaffold_3	2812.2559	6330	0.5348	100.0000	6330	84156	85185	0.5913	1861	2243.77
scaffold_4	269.1876	5292	0.3216	100.0000	5292	7065	7017	0.3203	267	59.20
scaffold_5	896.6173	2663	0.5265	100.0000	2663	11808	11928	0.5235	758	601.54
scaffold_6	691.7301	1945	0.4848	100.0000	1945	7302	6580	0.5180	521	694.65
scaffold_7	5558.1498	1822	0.6561	100.0000	1822	50414	48695	0.6470	5907	2349.60
scaffold_8	815.5935	1744	0.5281	100.0000	1744	6954	7203	0.5330	732	469.71
scaffold_9	1017.3446	1634	0.6573	100.0000	1634	8141	8162	0.6661	1026	322.61
scaffold_10	1434.0721	1360	0.5434	100.0000	1360	9711	9770	0.5308	1482	624.64
scaffold_11	428.3285	1163	0.2820	100.0000	1163	2414	2534	0.2891	363	179.06
scaffold_12	465.9265	1034	0.5280	100.0000	1034	2489	2290	0.5004	420	164.66
