#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.2374	481561	0.5714	100.0000	481561	179075	179010	0.5877	72	25.40
scaffold_2	72.5935	445924	0.5665	100.0000	445924	159628	159531	0.5832	69	25.22
scaffold_3	73.1355	378787	0.5653	100.0000	378787	135934	135876	0.5831	69	25.41
scaffold_4	73.5543	367189	0.5661	100.0000	367189	133178	133105	0.5792	70	29.30
scaffold_5	71.8130	334119	0.5668	100.0000	334119	118289	118318	0.5844	69	24.56
scaffold_6	71.3917	321000	0.5645	100.0000	321000	113176	113248	0.5810	67	25.06
scaffold_7	77.8620	308447	0.5637	100.0000	308447	117923	117918	0.5798	74	26.06
scaffold_8	72.0028	306894	0.5624	100.0000	306894	107811	107741	0.5788	68	24.71
scaffold_9	72.8539	265452	0.5641	100.0000	265452	95386	95334	0.5824	69	25.48
scaffold_10	74.5716	265098	0.5637	100.0000	265098	97690	97573	0.5785	71	23.89
scaffold_11	77.3027	261049	0.5712	100.0000	261049	99523	99556	0.5878	75	25.59
scaffold_12	72.7370	251156	0.5656	100.0000	251156	90042	90111	0.5795	69	25.94
scaffold_13	75.6604	226282	0.5662	100.0000	226282	84607	84480	0.5824	73	25.50
scaffold_14	74.9221	226222	0.5649	100.0000	226222	83576	83559	0.5816	70	25.21
scaffold_15	75.2498	221812	0.5741	100.0000	221812	82459	82342	0.5908	71	25.32
scaffold_16	75.3302	219498	0.5734	99.9868	219469	81251	81241	0.5902	72	25.67
scaffold_17	71.6276	209078	0.5643	100.0000	209078	73999	73820	0.5802	68	23.78
scaffold_18	73.2405	196243	0.5683	100.0000	196243	70746	70832	0.5874	69	27.62
scaffold_19	73.0084	196163	0.5655	100.0000	196163	70777	70830	0.5804	70	24.57
scaffold_20	77.2376	195510	0.5740	100.0000	195510	74458	73909	0.5898	71	110.54
scaffold_21	75.6179	195501	0.5590	100.0000	195501	73078	73015	0.5806	72	34.85
scaffold_22	72.4947	192551	0.5635	100.0000	192551	68764	68789	0.5792	68	24.00
scaffold_23	72.4349	192392	0.5738	100.0000	192392	68901	68920	0.5895	68	24.78
scaffold_24	72.3594	191359	0.5633	100.0000	191359	68189	68165	0.5811	69	25.05
scaffold_25	77.3620	189558	0.5729	100.0000	189558	72111	72102	0.5887	74	24.99
