#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	87.3714	1027766	0.5358	99.9904	1027667	443048	442982	0.5411	87	15.63
scaffold_2	89.1447	838211	0.5392	100.0000	838211	367915	367907	0.5448	88	16.15
scaffold_3	88.9261	827663	0.5379	100.0000	827663	360716	360860	0.5434	88	15.69
scaffold_4	87.1571	652726	0.5379	100.0000	652726	280474	280471	0.5431	87	14.91
scaffold_5	88.3330	526902	0.5376	100.0000	526902	229086	229200	0.5426	88	14.98
scaffold_6	88.7467	460052	0.5388	100.0000	460052	200877	200815	0.5441	88	15.41
scaffold_7	92.9426	450018	0.5378	100.0000	450018	206325	206227	0.5432	92	16.70
scaffold_8	88.3110	447280	0.5393	100.0000	447280	195085	194983	0.5449	88	15.59
scaffold_9	89.3830	439172	0.5387	100.0000	439172	190791	190765	0.5444	88	17.17
scaffold_10	88.4534	428015	0.5367	100.0000	428015	186796	186752	0.5423	88	15.50
scaffold_11	88.7207	425029	0.5387	100.0000	425029	186271	186349	0.5438	88	15.38
scaffold_12	89.8343	422291	0.5391	100.0000	422291	186550	186507	0.5447	89	16.14
scaffold_13	89.0625	420426	0.5382	100.0000	420426	181529	181529	0.5438	88	19.34
scaffold_14	90.0763	401985	0.5405	100.0000	401985	178308	178327	0.5454	89	15.84
scaffold_15	87.3823	395573	0.5369	100.0000	395573	170450	170403	0.5419	87	14.83
scaffold_16	87.6831	385461	0.5375	100.0000	385461	165873	166022	0.5424	87	15.11
scaffold_17	87.5839	351336	0.5368	100.0000	351336	151602	151577	0.5418	87	14.68
scaffold_18	87.9231	332796	0.5367	100.0000	332796	143284	143290	0.5417	87	15.36
scaffold_19	87.6624	325050	0.5383	99.9923	325025	140544	140670	0.5437	87	15.62
scaffold_20	88.1613	309007	0.5383	100.0000	309007	134269	134277	0.5426	87	16.68
scaffold_21	89.6228	309002	0.5388	100.0000	309002	135937	135979	0.5438	88	18.94
scaffold_22	87.5460	304480	0.5372	100.0000	304480	131567	131620	0.5422	87	14.83
scaffold_23	87.4887	294884	0.5385	100.0000	294884	127213	127282	0.5439	87	16.09
scaffold_24	87.3836	292451	0.5391	99.9997	292450	125690	125807	0.5439	87	15.43
scaffold_25	89.5900	287003	0.5375	99.9969	286994	126294	126373	0.5425	87	20.76
scaffold_26	88.1244	282793	0.5355	99.9873	282757	123056	123035	0.5402	87	23.35
