#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	47.9955	1267089	0.5115	100.0000	1267089	300430	300481	0.5149	48	9.04
scaffold_2	48.0332	1170175	0.5104	100.0000	1170175	277673	277637	0.5146	48	10.10
scaffold_3	47.6916	1010979	0.5093	100.0000	1010979	237521	237480	0.5130	47	9.35
scaffold_4	48.6087	1004487	0.5135	100.0000	1004487	240262	240301	0.5171	48	9.46
scaffold_5	48.1204	899927	0.5101	100.0000	899927	213337	213469	0.5142	48	9.38
scaffold_6	47.4372	865517	0.5080	100.0000	865517	202723	202667	0.5115	47	9.11
scaffold_7	48.0564	847697	0.5092	100.0000	847697	200885	200859	0.5140	48	10.40
scaffold_8	48.5788	787375	0.5105	100.0000	787375	188610	188814	0.5162	47	43.78
scaffold_9	47.8382	739852	0.5111	100.0000	739852	173781	173812	0.5143	47	8.99
scaffold_10	47.0564	684362	0.5111	100.0000	684362	159003	158913	0.5144	47	9.09
scaffold_11	50.3498	647136	0.5143	100.0000	647136	161007	161015	0.5176	48	16.78
scaffold_12	47.2692	643268	0.5095	100.0000	643268	150339	150374	0.5128	47	9.35
scaffold_13	48.3372	632682	0.5129	100.0000	632682	150812	150793	0.5162	48	9.19
scaffold_14	48.2494	627827	0.5120	100.0000	627827	149716	149700	0.5157	48	9.72
scaffold_15	48.5929	598727	0.5118	100.0000	598727	142796	142830	0.5153	48	9.39
scaffold_16	48.3539	583114	0.5093	100.0000	583114	139255	139200	0.5138	48	9.85
scaffold_17	48.2416	575549	0.5098	100.0000	575549	136989	136945	0.5138	48	9.36
scaffold_18	47.0219	553202	0.5096	100.0000	553202	128046	127999	0.5134	47	9.25
scaffold_19	46.9309	530416	0.5087	100.0000	530416	123041	123085	0.5120	47	8.95
scaffold_20	50.1521	515137	0.5071	100.0000	515137	123871	124022	0.5123	48	29.49
scaffold_21	48.4106	470569	0.5112	100.0000	470569	112188	112197	0.5148	48	9.27
scaffold_22	47.7963	469590	0.5105	100.0000	469590	110837	110806	0.5159	47	9.61
scaffold_23	46.6103	442950	0.4968	100.0000	442950	101266	101310	0.5060	46	17.61
scaffold_24	48.1093	437754	0.5131	100.0000	437754	104092	104103	0.5166	48	9.48
scaffold_25	48.1614	436661	0.5089	100.0000	436661	103845	103879	0.5136	48	9.75
scaffold_26	47.8435	425740	0.5097	100.0000	425740	100578	100639	0.5146	48	9.59
scaffold_27	46.9541	424277	0.5081	100.0000	424277	98481	98450	0.5120	47	9.36
scaffold_28	47.8525	423666	0.5120	100.0000	423666	100269	100240	0.5156	47	9.23
scaffold_29	48.2639	401055	0.5144	100.0000	401055	95624	95600	0.5178	48	9.31
scaffold_30	47.9785	390586	0.5103	100.0000	390586	92714	92664	0.5139	48	9.12
scaffold_31	47.4747	385794	0.5079	100.0000	385794	90567	90534	0.5118	47	9.35
scaffold_32	47.5571	377195	0.5072	99.9992	377192	88540	88573	0.5127	47	9.69
scaffold_33	47.8644	342793	0.5099	100.0000	342793	81146	81141	0.5137	47	9.36
scaffold_34	47.5162	337723	0.5062	100.0000	337723	78623	78671	0.5102	47	10.70
scaffold_35	44.4685	333052	0.4924	100.0000	333052	73234	73232	0.5014	45	10.39
scaffold_36	47.4271	277165	0.5101	100.0000	277165	64704	64760	0.5135	47	9.29
scaffold_37	47.8640	268605	0.5106	100.0000	268605	63312	63341	0.5137	47	9.13
scaffold_38	48.6351	267659	0.5125	100.0000	267659	63997	64051	0.5158	48	9.29
scaffold_39	48.5518	264813	0.5133	100.0000	264813	63555	63567	0.5163	48	9.03
scaffold_40	48.2006	261146	0.5092	100.0000	261146	61810	61749	0.5145	47	21.71
scaffold_41	47.3391	255975	0.5100	100.0000	255975	59805	59863	0.5142	47	9.40
scaffold_42	47.7052	248623	0.5120	100.0000	248623	58510	58516	0.5157	47	9.27
scaffold_43	47.6585	243314	0.5095	100.0000	243314	57267	57243	0.5136	47	9.24
scaffold_44	47.8974	242766	0.5108	100.0000	242766	57560	57497	0.5141	48	9.03
scaffold_45	45.1173	223368	0.4983	100.0000	223368	49825	49898	0.5072	45	10.64
scaffold_46	48.2751	214446	0.5110	100.0000	214446	51230	51176	0.5150	48	9.47
scaffold_47	46.9233	209671	0.5059	100.0000	209671	48694	48671	0.5134	47	9.96
scaffold_48	47.8062	207837	0.5099	100.0000	207837	48873	48867	0.5132	48	8.69
scaffold_49	46.1491	199095	0.5005	100.0000	199095	45207	45192	0.5057	45	10.02
scaffold_50	48.4438	186759	0.5088	100.0000	186759	44691	44670	0.5127	48	9.72
scaffold_51	47.1287	184887	0.5075	100.0000	184887	43127	43093	0.5131	47	9.42
scaffold_52	49.2990	181026	0.5148	100.0000	181026	44150	44144	0.5191	49	9.73
scaffold_53	46.7818	172369	0.5096	100.0000	172369	39872	39874	0.5152	47	9.78
scaffold_54	48.0139	171946	0.5083	100.0000	171946	40839	40873	0.5117	47	9.00
scaffold_55	47.2979	168487	0.5065	100.0000	168487	39343	39440	0.5116	47	9.82
scaffold_56	47.4640	163589	0.5041	100.0000	163589	38155	38166	0.5133	48	10.56
scaffold_57	48.0908	148380	0.5125	100.0000	148380	35197	35205	0.5158	48	8.96
scaffold_58	47.6845	145880	0.5095	100.0000	145880	34397	34426	0.5132	47	9.46
scaffold_59	46.9679	144838	0.5070	100.0000	144838	33634	33620	0.5119	47	9.60
scaffold_60	48.4179	140750	0.5163	100.0000	140750	33730	33664	0.5195	48	8.81
scaffold_61	47.8895	139783	0.5074	100.0000	139783	33148	32978	0.5101	45	30.54
scaffold_62	48.1967	132439	0.5101	100.0000	132439	31407	31408	0.5138	48	9.26
scaffold_63	48.3280	123877	0.5127	100.0000	123877	29591	29593	0.5164	48	10.03
scaffold_64	48.8489	117171	0.5119	100.0000	117171	28295	28312	0.5180	48	9.93
scaffold_65	48.0675	113157	0.5102	100.0000	113157	26663	26628	0.5148	48	9.63
scaffold_66	47.0594	101403	0.5144	100.0000	101403	23575	23652	0.5186	46	9.43
scaffold_67	47.2617	97251	0.5072	100.0000	97251	22666	22671	0.5122	47	9.02
scaffold_68	46.7766	95287	0.5124	100.0000	95287	22073	22031	0.5160	46	9.87
scaffold_69	46.4938	91068	0.5011	100.0000	91068	20831	20859	0.5068	46	9.71
scaffold_70	47.6214	87100	0.5099	100.0000	87100	20538	20522	0.5129	47	9.64
scaffold_71	47.0261	86848	0.5088	100.0000	86848	20158	20156	0.5123	46	9.13
scaffold_72	47.5567	76233	0.5030	100.0000	76233	17899	17909	0.5101	48	10.06
scaffold_73	48.5283	75740	0.5116	100.0000	75740	18013	17986	0.5154	48	9.47
scaffold_74	48.7836	75120	0.5145	100.0000	75120	18108	18163	0.5180	48	8.92
scaffold_75	48.3207	70206	0.5142	100.0000	70206	16762	16789	0.5173	48	9.11
scaffold_76	48.8982	69013	0.5075	100.0000	69013	16588	16592	0.5137	47	17.55
scaffold_77	39.9735	64903	0.4460	100.0000	64903	12820	12849	0.4687	40	12.58
scaffold_78	47.5160	63938	0.5095	100.0000	63938	15028	15036	0.5138	47	9.39
scaffold_79	48.1991	62796	0.5157	100.0000	62796	14975	14993	0.5187	48	9.15
scaffold_80	46.0410	62508	0.4928	100.0000	62508	14199	14172	0.4976	45	11.72
scaffold_81	50.7021	61451	0.5069	100.0000	61451	15417	15426	0.5121	47	17.74
scaffold_82	47.2793	57155	0.5077	100.0000	57155	13321	13350	0.5117	46	9.93
scaffold_83	47.6140	56021	0.5053	100.0000	56021	13188	13217	0.5105	47	10.25
scaffold_84	46.4773	55614	0.5084	100.0000	55614	12729	12777	0.5124	46	8.98
scaffold_85	46.8430	54409	0.5104	100.0000	54409	12646	12578	0.5137	47	9.24
scaffold_86	45.6814	54387	0.5035	100.0000	54387	12303	12287	0.5078	45	9.50
scaffold_87	47.8601	50645	0.5062	100.0000	50645	11988	12001	0.5104	47	9.27
scaffold_88	45.1682	47157	0.4885	100.0000	47157	10529	10552	0.4997	46	10.55
scaffold_89	44.7214	45395	0.4939	100.0000	45395	10053	10041	0.5065	45	10.72
scaffold_90	47.9106	43444	0.5148	100.0000	43444	10309	10287	0.5193	48	10.08
scaffold_91	44.2944	38394	0.4921	100.0000	38394	8417	8414	0.4961	44	9.22
scaffold_92	40.3766	36990	0.4435	100.0000	36990	7401	7392	0.4784	43	14.49
scaffold_93	44.3072	35616	0.4938	100.0000	35616	7823	7794	0.5017	44	9.61
scaffold_94	50.6287	35199	0.4856	100.0000	35199	8829	8792	0.4866	42	51.53
scaffold_95	45.9950	34707	0.4951	100.0000	34707	7919	7879	0.5046	45	15.87
scaffold_96	45.1513	32367	0.4862	100.0000	32367	7218	7248	0.4959	45	10.99
scaffold_97	35.1020	32258	0.4227	100.0000	32258	5624	5585	0.4294	34	11.50
scaffold_98	45.3018	31896	0.4970	100.0000	31896	7159	7151	0.5018	45	11.50
scaffold_99	44.1493	30320	0.4830	100.0000	30320	6626	6625	0.5010	45	12.40
